company_logo,company_name,company_phones_list,company_address,company_description
https://lesstroy.net/user/13843/90x90_Logo SBK44.jpg?time=1559830692,Дом из бруса СБК,+7 (930) 386 75 76,"г. Кострома, ул. Волжская 2-я, 3а, 2 этаж","Мы занимаемся проектированием и строительством домов из бруса – делаем это хорошо, ведь каждый из нашей компании вырос в деревянном доме, и может с уверенностью сказать, что бетонные коробки не дадут того тепла зимой, прохлады летом и чистого..."
https://lesstroy.net/user/40460/90x90_Без имени-1.jpg?time=1636445243,Моя усадьба,+7 (951) 686 64 00,"Угрешская ул., 2, стр. 15, Москва","Строим бани и дома под ключ, под усадку. Недорогие типовые и индивидуальные проекты — любой размер, площадь, планировка.Работаем с 2001 года. Сейчас у нас собственные бригады, производство в Костромской области, небольшой и сплоченный коллектив..."
https://lesstroy.net/user/43243/90x90_2023-01-26_11-20-42 - копия.png?time=1674911465,Вологодские дома и бани,+7 (800) 775 91 33,г. Пестово ул. лермонтова д. 26,"Здравствуйте уважаемые посетители данного ресурса!Наша компания ""Вологодские дома и бани"" занимается строительством деревянных домов и бань. Строим как дома под ПМЖ так и дачные садовые домики. В домах используем каркасную технологию и..."
https://lesstroy.net/user/12764/90x90_Безымянный-1.png?time=1551186211,Артель №1,+7 (495) 128 39 86,"г. Москва, метро Митино, ул. Митинская 16, БЦ","Профессиональные плотники АРТЕЛЬ №1 построят для Вас лучший Бревенчатый Дом всего за 60 дней, без предоплаты и с гарантией 30 лет! Вы оплачивает работы по факту их выполнения и только после полной удовлетворенности качеством. Мы идём на эти риски, так..."
https://lesstroy.net/user/8165/90x90_logo.png?time=1544296876,ЛесДомТорг,+7 (499) 113 37 71,"г. Москва, 3-й Хорошевский проезд, дом 5с3, 4-й этаж, офис № 401","Основное направление деятельности компании - производство и строительство деревянных домов и бань. Строим как по типовым, так и по индивидуальным проектам. Мы осуществляем СТРОИТЕЛЬСТВО В КРЕДИТ, а также ПРИНИМАЕМ К ОПЛАТЕ МАТЕРИНСКИЙ..."
https://lesstroy.net/user/10076/90x90_Безымянный.jpg?time=1559370539,СТРОЙ-БРУС.РФ,"+7 (903) 634 44 68, +7 (495) 137 53 52, +7 (800) 555 96 01","Московская область, город Коломна, площадь Советская, 4","Добро пожаловать на официальную страницу строительной фирмы “СТРОЙ БРУС”. Наш профиль — это строительство деревянных домов из бруса в Москве и ЦФО России. Если Вас интересуют брусовые дома из Костромы, то Вы находитесь на нужной странице.НАШИ..."
https://lesstroy.net/user/8243/90x90_1426957460.jpg?time=1541106402,ЭкоСрубСтрой,+7 (495) 542 04 45,г. Москва,Наша компания более 14 лет занимается изготовлением и строительством срубов домов и бань  из ОЦИЛИНДРОВАННОГО БРЕВНА и БРЕВНА РУЧНОЙ РУБКИ. У нас приятные цены при высоком качестве материала и работ. Производственная база находится в экологически чистой...
https://lesstroy.net/user/13496/90x90_dee892e414197a19cf6f253ce71ce048.png?time=1541106484,ПСК Сруб-Проект,"+7 (911) 501 51 37, +7 (900) 502 50 00, +8 (800) 300 82 35","г. Вологда, ул. Гагарина 145","Компания «Сруб-Проект» - это команда профессионалов увлеченных строительным делом. Более 10 лет мы занимаемся изготовлением, продажей, сборкой домов и бань из оцилиндрованного и рубленого бревна.     Наличие собственных лесных делянок на севере..."
https://nsk.lesstroy.net/user/17132/90x90_Скриншот 28-10-2020 193924.jpg?time=1603889206,СК Лесоруб,+7 (383) 263 70 73,"г.Новосибирск, ул.Инская, 39, офис 302","СК ""Лесоруб"" – это команда людей, объединенных общими целями, идеями и задачами. Для нас каждый клиент - особенный, требующий индивидуального подхода и персональных консультаций. Мы ценим время наших клиентов, поэтому предлагаем им исключительно все..."
https://vologda.lesstroy.net/user/18545/90x90_Логотип компании Лесстрой.png?time=1547804083,Дома-Ваши,+7 (900) 553 73 22,"Россия, Вологда, Вологодская слобода, д.15","Строительная компания «Дома-Ваши» специализируется на строительстве быстровозводимых домов из теплобетона (полистиролбетон), а так же строительством домов, бань, коттеджей из северного леса Вологодской области.Работает исключительно с лучшими..."
https://lesstroy.net/user/34707/90x90_инбрус лого (1).jpg?time=1585039254,ИНБРУС,+7 (800) 201 55 09,"г.Пенза, проспект Строителей 1 В (ТРК)",Строительство современных домов по всей России в компании «Инбрус» это:Построим Ваш уютный дом за 45 дней. ЭКО-дома из клеёного бруса. Будем знакомы - строительная компания “ИНБРУС”. Мы строим уютные и просторные эко-дома из клеёного бруса. Делаем это...
https://lesstroy.net/user/3690/90x90_лого.jpg?time=1543317566,ДДМ - Строй,+7 (495) 995 29 92,"Москва, Хлебозаводский пр-д, д. 7, стр. 10","С 2005 года «ДДМ-Строй» осуществляет проектирование и строительство домов из клееного бруса. Мы строим по всей России и за рубежом. При проектировании мы используем такие узлы, как «ласточкин хвост», «стык Гербера», «тирольский замок» и другие..."
